probe_id,stability_fraction,n_significant_repeats
exm3489-0_T_R_1921580950,0.0,0
exm3507-0_T_R_1919140076,0.0,0
exm3511-0_T_F_1921339103,0.0,0
exm3518-0_B_F_1919135139,0.0,0
exm3521-0_B_R_1921365518,0.0,0
exm3522-0_T_F_1921479465,0.0,0
exm3556-0_B_F_1921524095,0.0,0
exm3630-0_B_R_1921414434,0.0,0
exm2275409-0_T_F_1985230271,0.0,0
exm3678-0_B_F_1921340981,0.0,0
exm3680-0_T_R_1919171634,0.0,0
exm3706-0_T_F_2060129172,0.0,0
exm3707-0_B_F_1921405287,0.0,0
exm3709-0_T_R_1921466084,0.0,0
exm3724-0_T_F_1921400143,0.0,0
exm3851-0_T_R_1921400672,0.0,0
exm3863-0_B_F_1919174017,0.0,0
exm3884-0_B_F_1921329901,0.0,0
exm3904-0_B_F_1921583183,0.0,0
exm3908-0_T_R_1921339088,0.0,0
exm3962-0_B_F_2060123047,0.0,0
exm3966-0_T_F_1921345979,0.0,0
exm3973-0_B_F_1921349527,0.0,0
exm4035-0_T_F_1921539361,0.0,0
exm4046-0_T_F_1921512993,0.0,0
exm2250001-0_B_F_1975256116,0.0,0
exm4089-0_B_R_1919129278,0.0,0
exm4119-0_T_F_1921537323,0.0,0
exm4134-0_T_F_1921493361,0.0,0
exm4160-0_B_R_1921507916,0.0,0
exm4281-0_T_R_1921401434,0.0,0
exm4292-0_T_F_1921374023,0.0,0
exm4294-0_T_F_1921460179,0.0,0
exm2264793-0_T_F_1984844575,0.0,0
exm4428-0_T_F_1919122693,0.0,0
exm2268858-0_B_F_1984845523,0.0,0
exm4494-0_T_R_1919140540,0.0,0
exm4499-0_B_F_1921363643,0.0,0
exm4503-0_T_F_1921516659,0.0,0
exm4504-0_B_R_1921341050,0.0,0
exm4505-0_T_R_1921582766,0.0,0
exm4520-0_B_R_1921400272,0.0,0
exm4521-0_B_F_1919126305,0.0,0
exm4526-0_B_F_1921485871,0.0,0
exm1733478-0_T_F_1927679166,0.0,0
exm4527-0_B_F_1919128681,0.0,0
exm4538-0_T_R_1919112248,0.0,0
exm4543-0_B_R_1919135206,0.0,0
exm4548-0_B_F_1921490217,0.0,0
exm4550-0_T_R_1921422746,0.0,0
exm4638-0_T_R_1921373962,0.0,0
exm4640-0_T_F_1921404383,0.0,0
exm4647-0_T_R_1921425236,0.0,0
exm4656-0_B_R_1921581172,0.0,0
exm4660-0_B_R_1919122978,0.0,0
exm4673-0_B_F_1921476405,0.0,0
exm4806-0_T_F_1921488127,0.0,0
exm4809-0_B_F_1921343265,0.0,0
exm4861-0_B_R_1921395480,0.0,0
exm4871-0_T_F_1921403771,0.0,0
exm4882-0_B_F_1921463237,0.0,0
exm4915-0_B_F_1921327801,0.0,0
exm4922-0_T_R_1921580066,0.0,0
exm4928-0_B_F_1921509745,0.0,0
exm4932-0_B_F_1921437481,0.0,0
exm4936-0_T_R_2060149043,0.0,0
exm4945-0_B_R_1921352154,0.0,0
exm4948-0_B_F_1919125885,0.0,0
exm4951-0_T_R_1919144176,0.0,0
exm4957-0_B_F_1921459951,0.0,0
exm4965-0_B_R_1921438202,0.0,0
exm4966-0_T_R_1919188862,0.0,0
exm4973-0_T_F_1921507037,0.0,0
exm4974-0_B_R_1921582986,0.0,0
exm4988-0_B_R_1921468622,0.0,0
exm4998-0_B_R_1921456694,0.0,0
exm5009-0_T_R_1921438772,0.0,0
exm2250439-0_B_F_1975256070,0.0,0
exm1744492-0_T_R_1927689837,0.0,0
exm5098-0_B_R_1919155730,0.0,0
exm5108-0_T_F_1921390609,0.0,0
exm5157-0_T_F_1921395077,0.0,0
exm-rs425277-131_B_F_1990483138,0.0,0
exm-rs3753242-131_B_F_1990482763,0.0,0
exm5184-0_T_F_1921391607,0.0,0
exm5277-0_T_R_2060128432,0.0,0
exm5285-0_B_R_1919166166,0.0,0
exm5301-0_B_R_1921368636,0.0,0
exm5304-0_B_F_1921331769,0.0,0
exm5306-0_B_R_1921557656,0.0,0
exm5336-0_B_R_1921511224,0.0,0
exm5356-0_T_F_1921486367,0.0,0
exm5368-0_T_R_1919162412,0.0,0
exm5373-0_T_R_1921486714,0.0,0
exm5436-0_T_R_1921375712,0.0,0
exm5439-0_B_F_1919113575,0.0,0
exm5488-0_T_F_1921571939,0.0,0
exm5493-0_T_R_1921580372,0.0,0
exm5498-0_B_F_1921474145,0.0,0
exm5521-0_T_R_1921542560,0.0,0
exm2268641-0_T_R_1984844486,0.0,0
exm5583-0_B_R_1921567596,0.0,0
exm5594-0_T_R_1921461966,0.0,0
exm5596-0_B_R_1921523152,0.0,0
exm5616-0_B_F_1921484211,0.0,0
exm5618-0_B_R_1921335464,0.0,0
exm5673-0_B_R_1921363512,0.0,0
exm5682-0_B_R_1919156680,0.0,0
exm5684-0_T_R_2060128212,0.0,0
exm5691-0_T_R_1921504494,0.0,0
exm5697-0_B_F_1921582033,0.0,0
exm5742-0_T_F_1921459055,0.0,0
exm5841-0_B_R_1921560264,0.0,0
exm1771279-0_B_R_1927654799,0.0,0
exm2277033-0_T_R_1989215350,0.0,0
exm5861-0_T_F_1921358269,0.0,0
exm2250954-0_T_F_2058861777,0.0,0
exm5910-0_B_R_1921540804,0.0,0
exm5918-0_T_R_1921565956,0.0,0
exm5932-0_T_F_1921331159,0.0,0
exm5956-0_B_F_1919179663,0.0,0
exm6013-0_T_F_1919190119,0.0,0
exm2250972-0_B_F_1975256564,0.0,0
exm6103-0_B_R_1921463552,0.0,0
exm6115-0_T_R_1919142962,0.0,0
exm6121-0_T_F_1919140431,0.0,0
exm6129-0_T_R_2060139267,0.0,0
exm6141-0_T_F_1921473469,0.0,0
exm-rs734999-131_T_R_1990493843,0.0,0
exm6173-0_T_F_1921557197,0.0,0
exm6185-0_T_F_2058862098,0.0,0
exm6209-0_T_F_1921548689,0.0,0
exm6212-0_B_F_2060132482,0.0,0
exm6217-0_B_F_1921495097,0.0,0
exm6224-0_B_R_1919167338,0.0,0
exm6234-0_B_F_1921488113,0.0,0
exm6243-0_T_F_1919113729,0.0,0
exm6264-0_B_R_1919139158,0.0,0
exm6301-0_T_F_1921482571,0.0,0
exm6305-0_T_R_1919188514,0.0,0
exm6311-0_T_F_1921427415,0.0,0
exm6320-0_T_R_1921540824,0.0,0
exm2268642-0_T_R_1984844756,0.0,0
exm6340-0_T_R_1921396200,0.0,0
exm6350-0_B_F_1921524277,0.0,0
exm6351-0_T_F_2060140716,0.0,0
exm-rs3890745-131_T_F_1990492008,0.0,0
exm6361-0_T_F_1921395275,0.0,0
exm2268859-0_T_R_1984845166,0.0,0
exm6385-0_B_R_1921530784,0.0,0
exm6394-0_B_R_1921523114,0.0,0
exm6413-0_T_F_1921356393,0.0,0
exm6419-0_B_R_1919166420,0.0,0
exm6421-0_B_F_1919182007,0.0,0
exm6428-0_T_F_1921539297,0.0,0
exm-rs2651899-131_T_F_1990490798,0.0,0
exm6449-0_B_R_1919113928,0.0,0
exm6451-0_T_F_1921552595,0.0,0
exm2260168-0_B_R_1975243202,0.0,0
exm-rs6658356-131_B_R_1990484321,0.0,0
exm6506-0_B_R_1921483966,0.0,0
exm6524-0_B_F_1921574801,0.0,0
exm6534-0_T_R_1921583964,0.0,0
exm6548-0_B_F_1921437769,0.0,0
exm6556-0_B_R_1921374404,0.0,0
exm6561-0_B_R_1921481362,0.0,0
exm6574-0_B_R_1919121310,0.0,0
exm6576-0_T_R_1921353308,0.0,0
exm6589-0_B_F_1919184889,0.0,0
exm6605-0_T_F_1919138473,0.0,0
exm6607-0_B_R_1921329212,0.0,0
exm2251405-0_B_R_1975255055,0.0,0
exm6635-0_B_F_1921470647,0.0,0
exm6665-0_T_R_1921381364,0.0,0
exm6666-0_B_R_2060142936,0.0,0
exm2233206-0_T_R_1960091328,0.0,0
exm6674-0_B_F_1921504189,0.0,0
exm6695-0_B_R_1921500282,0.0,0
exm6722-0_B_R_1921554480,0.0,0
exm6750-0_B_R_1921541902,0.0,0
exm6752-0_T_R_1919130966,0.0,0
exm6755-0_B_R_1919137754,0.0,0
exm6767-0_B_R_1921535982,0.0,0
exm6790-0_T_R_1921368074,0.0,0
exm6792-0_B_R_1921382460,0.0,0
exm6806-0_T_R_1921339170,0.0,0
exm6824-0_B_R_1921439156,0.0,0
exm6833-0_B_F_1919125723,0.0,0
exm6842-0_B_F_1921485725,0.0,0
exm6847-0_T_R_1921525912,0.0,0
exm6852-0_T_F_2060141982,0.0,0
exm6858-0_T_F_1921519225,0.0,0
exm2251433-0_T_F_1975255628,0.0,0
exm6861-0_T_R_1921565060,0.0,0
exm6871-0_B_F_2058859478,0.0,0
exm6926-0_B_F_1921436513,0.0,0
exm6947-0_T_F_1921525979,0.0,0
exm6953-0_B_R_1921534128,0.0,0
exm6956-0_B_F_2060423978,0.0,0
exm6959-0_T_F_2060141999,0.0,0
exm6967-0_B_F_1919124627,0.0,0
exm6978-0_T_F_1919133527,0.0,0
exm6986-0_T_R_1921404732,0.0,0
exm7020-0_T_F_1921454763,0.0,0
exm7049-0_T_F_1921522805,0.0,0
exm7076-0_B_F_1921439985,0.0,0
exm7102-0_B_R_1921419020,0.0,0
exm7112-0_T_F_1921560991,0.0,0
exm7117-0_T_R_1921468916,0.0,0
exm7121-0_B_F_1921486715,0.0,0
exm7124-0_B_R_1921552558,0.0,0
exm7127-0_T_F_1921421281,0.0,0
exm7130-0_B_R_1921553578,0.0,0
exm7145-0_T_R_1921364544,0.0,0
exm7149-0_B_R_1921510360,0.0,0
exm7155-0_T_R_1921501694,0.0,0
exm7204-0_T_R_1921453760,0.0,0
exm7205-0_T_F_1921570269,0.0,0
exm7242-0_B_R_1921536842,0.0,0
exm7249-0_B_F_1921579235,0.0,0
exm7253-0_T_R_1921448706,0.0,0
exm7276-0_B_F_1921400059,0.0,0
exm7323-0_B_F_1921353869,0.0,0
exm7380-0_T_F_1921459077,0.0,0
exm7442-0_B_R_1921528584,0.0,0
exm7483-0_T_R_1921537058,0.0,0
exm7490-0_B_R_2058869728,0.0,0
exm7497-0_B_R_1921489448,0.0,0
exm7504-0_T_F_1919118979,0.0,0
exm7509-0_B_R_1921373028,0.0,0
exm7522-0_B_R_1921377520,0.0,0
exm2251521-0_T_R_1975256695,0.0,0
exm7551-0_T_R_1921491574,0.0,0
exm7554-0_B_F_1921556367,0.0,0
exm7560-0_T_R_1921454556,0.0,0
exm7574-0_T_R_1921483308,0.0,0
exm7575-0_T_R_1921367022,0.0,0
exm7582-0_T_R_1921444198,0.0,0
exm7596-0_B_F_1921392767,0.0,0
exm7598-0_B_F_1921443925,0.0,0
exm7600-0_B_F_1921530379,0.0,0
exm7602-0_T_F_1921541269,0.0,0
exm7610-0_T_F_1921493307,0.0,0
exm7611-0_T_F_1919177993,0.0,0
exm7617-0_T_R_1921338858,0.0,0
exm7623-0_T_F_1919140557,0.0,0
exm2273606-0_B_R_1984880520,0.0,0
exm7635-0_B_F_1921477653,0.0,0
exm7644-0_B_F_1921481253,0.0,0
exm7668-0_B_R_2060123038,0.0,0
exm7692-0_B_F_1919152349,0.0,0
exm7762-0_T_R_1921510556,0.0,0
exm7767-0_B_F_1921459431,0.0,0
exm7791-0_B_R_1921424844,0.0,0
exm7833-0_T_F_1921524587,0.0,0
exm7840-0_T_R_1921548386,0.0,0
exm7844-0_B_R_1919164632,0.0,0
exm7846-0_T_R_1921505150,0.0,0
exm7848-0_B_F_1921348999,0.0,0
exm7875-0_T_F_1921403567,0.0,0
exm7891-0_T_R_1921486852,0.0,0
exm7894-0_T_F_1921568553,0.0,0
exm7898-0_T_F_1921456765,0.0,0
exm7906-0_T_R_1921371276,0.0,0
exm2251546-0_T_R_1975255557,0.0,0
exm7929-0_T_R_1919113854,0.0,0
exm7930-0_B_F_1921543403,0.0,0
exm7949-0_T_F_1919151969,0.0,0
exm7974-0_B_R_1921519780,0.0,0
exm7983-0_T_R_1921385316,0.0,0
exm8010-0_T_F_1921448901,0.0,0
exm8024-0_T_R_1921483920,0.0,0
exm2273607-0_T_R_1984880306,0.0,0
exm8030-0_B_F_1921490171,0.0,0
exm8031-0_T_F_1921334151,0.0,0
exm8035-0_T_R_1921549576,0.0,0
exm8036-0_B_R_1919148640,0.0,0
exm8039-0_T_F_1921353635,0.0,0
exm8044-0_B_F_1921543027,0.0,0
exm8045-0_B_F_1921427993,0.0,0
exm8055-0_T_R_1921520204,0.0,0
exm2268644-0_B_F_1984845199,0.0,0
exm2251770-0_T_F_1975242775,0.0,0
